,team_name,team_id,logo_url
0,Abilene Chr,1101,
1,Air Force,1102,http://dynasties.operationsports.com/images/logos/large/ncaa/AFA.png
2,Akron,1103,http://dynasties.operationsports.com/images/logos/large/ncaa/AKR.png
3,Alabama,1104,http://dynasties.operationsports.com/images/logos/large/ncaa/ALA.png
4,Alabama A&M,1105,http://dynasties.operationsports.com/images/logos/large/ncaa/AAMU.png
5,Alabama St,1106,http://dynasties.operationsports.com/images/logos/large/ncaa/ALST.png
6,Albany NY,1107,
7,Alcorn St,1108,http://dynasties.operationsports.com/images/logos/large/ncaa/ALCN.png
8,American Univ,1110,http://dynasties.operationsports.com/images/logos/large/ncaa/AMER.png
9,Appalachian St,1111,http://dynasties.operationsports.com/images/logos/large/ncaa/APP.png
10,Arizona,1112,http://dynasties.operationsports.com/images/logos/large/ncaa/ARIZ.png
11,Arizona St,1113,http://dynasties.operationsports.com/images/logos/large/ncaa/ASU.png
12,Ark Little Rock,1114,
13,Ark Pine Bluff,1115,
14,Arkansas,1116,http://dynasties.operationsports.com/images/logos/large/ncaa/ARK.png
15,Arkansas St,1117,http://dynasties.operationsports.com/images/logos/large/ncaa/ARST.png
16,Army,1119,http://dynasties.operationsports.com/images/logos/large/ncaa/ARMY.png
17,Auburn,1120,http://dynasties.operationsports.com/images/logos/large/ncaa/AUB.png
18,Austin Peay,1122,http://dynasties.operationsports.com/images/logos/large/ncaa/PEAY.png
19,BYU,1140,
20,Ball St,1123,http://dynasties.operationsports.com/images/logos/large/ncaa/BALL.png
21,Baylor,1124,http://dynasties.operationsports.com/images/logos/large/ncaa/BAY.png
22,Belmont,1125,http://dynasties.operationsports.com/images/logos/large/ncaa/BEL.png
23,Bethune-Cookman,1126,http://dynasties.operationsports.com/images/logos/large/ncaa/COOK.png
24,Binghamton,1127,http://dynasties.operationsports.com/images/logos/large/ncaa/BING.png
25,Birmingham So,1128,
26,Boise St,1129,http://dynasties.operationsports.com/images/logos/large/ncaa/BSU.png
27,Boston College,1130,http://dynasties.operationsports.com/images/logos/large/ncaa/BC.png
28,Boston Univ,1131,http://dynasties.operationsports.com/images/logos/large/ncaa/BU.png
29,Bowling Green,1132,http://dynasties.operationsports.com/images/logos/large/ncaa/BGSU.png
30,Bradley,1133,http://dynasties.operationsports.com/images/logos/large/ncaa/BRAD.png
31,Brown,1135,http://dynasties.operationsports.com/images/logos/large/ncaa/BRWN.png
32,Bryant,1136,http://dynasties.operationsports.com/images/logos/large/ncaa/BRY.png
33,Bucknell,1137,http://dynasties.operationsports.com/images/logos/large/ncaa/BUCK.png
34,Buffalo,1138,http://dynasties.operationsports.com/images/logos/large/ncaa/BUFF.png
35,Butler,1139,http://dynasties.operationsports.com/images/logos/large/ncaa/BUT.png
36,C Michigan,1141,
37,CS Bakersfield,1167,http://dynasties.operationsports.com/images/logos/large/ncaa/CSB.png
38,CS Fullerton,1168,http://dynasties.operationsports.com/images/logos/large/ncaa/CSF.png
